BG-Q5. 性別を教えてください。,4a-Q1. 「入り組んだ水路にマングローブが繁り、カヌーでしか奥へ進めない汽水域」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）,4a-Q2. 「入り組んだ水路にマングローブが繁り、カヌーでしか奥へ進めない汽水域」について「行きたい」と思うかを評価してください。,4a-Q3. 一人で行きたいですか？,4a-Q4. 誰かと一緒なら行きたいと思いますか？,4a-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4a-Q6. 過去に行ったことがありますか？,4a-Q7. その場所での滞在時間はどのくらいでしたか？,4a-Q8. 再び訪れたいと思いますか？,4b-Q1. 「草が波立つ外輪山の高原で、放牧の牛が風に揺れる鈴を鳴らす草原」に対してどのような感情を抱きますか？（複数選択可）,4b-Q2. 「草が波立つ外輪山の高原で、放牧の牛が風に揺れる鈴を鳴らす草原」について「行きたい」と思うかを評価してください。,4b-Q3. 一人で行きたいですか？,4b-Q4. 誰かと一緒なら行きたいと思いますか？,4b-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4b-Q6. 過去に行ったことがありますか？,4b-Q7. その場所での滞在時間はどのくらいでしたか？,4b-Q8. 再び訪れたいと思いますか？,4c-Q1. 「石で三角に積んだ即席かまどが残り、熾火の匂いが漂う河原のキャンプ跡」に対してどのような感情を抱きますか？（複数選択可）,4c-Q2. 「石で三角に積んだ即席かまどが残り、熾火の匂いが漂う河原のキャンプ跡」について「行きたい」と思うかを評価してください。,4c-Q3. 一人で行きたいですか？,4c-Q4. 誰かと一緒なら行きたいと思いますか？,4c-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4c-Q6. 過去に行ったことがありますか？,4c-Q7. その場所での滞在時間はどのくらいでしたか？,4c-Q8. 再び訪れたいと思いますか？,4d-Q1. 「腰高まで石を積んだだけの一坪ほどの窪地が風よけとなる高山帯」に対してどのような感情を抱きますか？（複数選択可）,4d-Q2. 「腰高まで石を積んだだけの一坪ほどの窪地が風よけとなる高山帯」について「行きたい」と思うかを評価してください。,4d-Q3. 一人で行きたいですか？,4d-Q4. 誰かと一緒なら行きたいと思いますか？,4d-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4d-Q6. 過去に行ったことがありますか？,4d-Q7. その場所での滞在時間はどのくらいでしたか？,4d-Q8. 再び訪れたいと思いますか？,4e-Q1. 「零下二十度でも内部が二十度を保たれる巨大ハウスが並ぶ寒冷地の畑」に対してどのような感情を抱きますか？（複数選択可）,4e-Q2. 「零下二十度でも内部が二十度を保たれる巨大ハウスが並ぶ寒冷地の畑」について「行きたい」と思うかを評価してください。,4e-Q3. 一人で行きたいですか？,4e-Q4. 誰かと一緒なら行きたいと思いますか？,4e-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4e-Q6. 過去に行ったことがありますか？,4e-Q7. その場所での滞在時間はどのくらいでしたか？,4e-Q8. 再び訪れたいと思いますか？,4f-Q1. 「高原の森に薪ストーブの煙があがり、別荘が点々と建つリトリート地域」に対してどのような感情を抱きますか？（複数選択可）,4f-Q2. 「高原の森に薪ストーブの煙があがり、別荘が点々と建つリトリート地域」について「行きたい」と思うかを評価してください。,4f-Q3. 一人で行きたいですか？,4f-Q4. 誰かと一緒なら行きたいと思いますか？,4f-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4f-Q6. 過去に行ったことがありますか？,4f-Q7. その場所での滞在時間はどのくらいでしたか？,4f-Q8. 再び訪れたいと思いますか？,4g-Q1. 「高層ビル街の大通りに黄金色の並木がまっすぐ伸びる都市の幹線道路」に対してどのような感情を抱きますか？（複数選択可）,4g-Q2. 「高層ビル街の大通りに黄金色の並木がまっすぐ伸びる都市の幹線道路」について「行きたい」と思うかを評価してください。,4g-Q3. 一人で行きたいですか？,4g-Q4. 誰かと一緒なら行きたいと思いますか？,4g-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4g-Q6. 過去に行ったことがありますか？,4g-Q7. その場所での滞在時間はどのくらいでしたか？,4g-Q8. 再び訪れたいと思いますか？,4h-Q1. 「巨大な冷蔵庫と電子取引システムで生鮮品を管理する卸売市場」に対してどのような感情を抱きますか？（複数選択可）,4h-Q2. 「巨大な冷蔵庫と電子取引システムで生鮮品を管理する卸売市場」について「行きたい」と思うかを評価してください。,4h-Q3. 一人で行きたいですか？,4h-Q4. 誰かと一緒なら行きたいと思いますか？,4h-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4h-Q6. 過去に行ったことがありますか？,4h-Q7. その場所での滞在時間はどのくらいでしたか？,4h-Q8. 再び訪れたいと思いますか？,4i-Q1. 「住民出資で稼働する大規模太陽光発電所が夕焼けを背に立つ丘陵地」に対してどのような感情を抱きますか？（複数選択可）,4i-Q2. 「住民出資で稼働する大規模太陽光発電所が夕焼けを背に立つ丘陵地」について「行きたい」と思うかを評価してください。,4i-Q3. 一人で行きたいですか？,4i-Q4. 誰かと一緒なら行きたいと思いますか？,4i-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4i-Q6. 過去に行ったことがありますか？,4i-Q7. その場所での滞在時間はどのくらいでしたか？,4i-Q8. 再び訪れたいと思いますか？,4j-Q1. 「震災跡地を活用し、自律型ドローンの試験飛行場と研究施設が並ぶ復興拠点」に対してどのような感情を抱きますか？（複数選択可）,4j-Q2. 「震災跡地を活用し、自律型ドローンの試験飛行場と研究施設が並ぶ復興拠点」について「行きたい」と思うかを評価してください。,4j-Q3. 一人で行きたいですか？,4j-Q4. 誰かと一緒なら行きたいと思いますか？,4j-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,4j-Q6. 過去に行ったことがありますか？,4j-Q7. その場所での滞在時間はどのくらいでしたか？,4j-Q8. 再び訪れたいと思いますか？
男性,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"8-喜び, 8-平穏",どちらでもない,,友人,8-喜び,ない,,,"1-期待, 1-関心",行きたい,はい,,,ある,半日程度,とても訪れたい,"4-哀愁, 5-放心",行きたくない,,それでも行きたくない,,ない,,,"5-放心, 6-恐怖",全く行きたくない,,それでも行きたくない,,ない,,,"7-信頼, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"4-哀愁, 5-驚嘆",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心",行きたい,はい,,,ない,,,"4-哀愁, 5-驚嘆, 5-驚き",行きたい,はい,,,ない,,,"7-敬愛, 7-信頼",行きたくない,,友人,"8-喜び, 8-平穏",ない,,
男性,"1-警戒, 1-期待, 1-関心, 6-不安, 8-恍惚",行きたい,はい,,,ない,,,"4-哀愁, 7-敬愛, 8-平穏",どちらでもない,,他人（ツアーなど）,8-平穏,ない,,,"1-関心, 8-平穏",どちらでもない,,友人,1-期待,ない,,,"4-哀愁, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 4-哀愁, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-敬愛, 7-信頼, 8-喜び, 8-平穏",行きたい,いいえ,家族,1-期待,ない,,,"1-期待, 4-哀愁, 5-驚嘆, 7-信頼, 8-恍惚",行きたい,はい,,,ある,30分未満,訪れたい,"1-期待, 1-関心, 5-驚き, 7-信頼",どちらでもない,,専門ガイド,1-期待,ない,,,"1-関心, 4-哀愁, 5-驚嘆, 5-驚き, 8-恍惚, 8-平穏",どちらでもない,,誰とでもいい,8-平穏,ない,,,"1-期待, 1-関心, 5-驚嘆, 7-信頼, 7-容認",行きたくない,,専門ガイド,1-関心,ない,,
女性,"1-警戒, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 5-驚き, 6-不安",行きたくない,,それでも行きたくない,,ない,,,6-不安,行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 3-嫌悪, 5-放心, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-容認",行きたい,はい,,,ない,,,"1-警戒, 3-うんざり, 6-不安",行きたくない,,それでも行きたくない,,わからない,,,"1-警戒, 3-うんざり, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-容認",行きたい,はい,,,ない,,
男性,"1-警戒, 2-苛立ち, 3-うんざり, 4-哀愁, 5-驚き, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-不安, 7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 2-怒り, 2-苛立ち, 4-悲しみ, 5-放心, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 5-放心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 7-容認",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 7-信頼, 8-喜び",行きたい,はい,,,ない,,,"3-うんざり, 4-哀愁, 5-放心",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-容認, 8-平穏",どちらでもない,,家族,8-平穏,ない,,,"2-苛立ち, 3-うんざり, 4-哀愁, 5-放心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 7-信頼, 8-喜び",行きたい,はい,,,ない,,
男性,"1-警戒, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"5-放心, 8-平穏",行きたい,はい,,,ない,,,7-容認,どちらでもない,,誰とでもいい,1-関心,ない,,,6-不安,どちらでもない,,友人,1-関心,ない,,,1-関心,行きたくない,,それでも行きたくない,,ない,,,1-関心,どちらでもない,,友人,1-関心,ない,,,7-容認,どちらでもない,,誰とでもいい,7-容認,ない,,,1-関心,行きたくない,,それでも行きたくない,,ない,,,1-関心,どちらでもない,,誰とでもいい,1-関心,ない,,,1-関心,どちらでもない,,友人,1-関心,ない,,
男性,"1-警戒, 5-驚き, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"8-喜び, 8-平穏",行きたくない,,友人,"1-期待, 8-喜び",ない,,,"1-期待, 8-喜び, 8-平穏",どちらでもない,,友人,"1-期待, 8-喜び",ない,,,"1-警戒, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 5-驚き",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",どちらでもない,,友人,"1-期待, 8-喜び",ない,,,"1-期待, 8-喜び, 8-平穏",行きたくない,,友人,"1-期待, 8-喜び",ない,,,6-不安,行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 3-嫌悪, 4-悲しみ, 6-恐怖",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-悲しみ, 6-不安",行きたくない,,それでも行きたくない,,ない,,
男性,"3-嫌悪, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-喜び",行きたい,はい,,,ない,,,4-哀愁,行きたくない,,それでも行きたくない,,ない,,,5-驚嘆,行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたい,いいえ,友人,"1-期待, 8-平穏",ない,,,"5-放心, 8-平穏",行きたい,はい,,,ある,30分未満,訪れたい,5-驚嘆,行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,1-関心,行きたい,いいえ,友人,"1-関心, 7-信頼",ない,,
女性,"1-警戒, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,8-平穏,行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",どちらでもない,,家族,"1-期待, 7-信頼",ある,半日程度,どちらでもない,"5-放心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,1-関心,どちらでもない,,家族,8-平穏,ない,,,1-関心,行きたい,いいえ,家族,8-喜び,ない,,,5-放心,どちらでもない,,家族,1-期待,ある,30分〜1時間,どちらでもない,"1-期待, 1-関心",行きたい,いいえ,家族,8-喜び,ない,,,5-放心,どちらでもない,,家族,1-関心,ない,,,1-関心,行きたい,いいえ,家族,1-期待,ない,,
男性,"3-嫌悪, 4-悲嘆, 5-放心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安, 8-恍惚",行きたい,いいえ,家族,8-喜び,ない,,,"3-嫌悪, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 3-うんざり, 4-悲しみ, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安",行きたくない,,家族,"4-哀愁, 7-信頼",ない,,,"1-期待, 7-容認, 8-恍惚",とても行きたい,はい,,,ない,,,"3-嫌悪, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 6-恐怖",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-容認",行きたい,はい,,,ない,,,"1-期待, 5-驚嘆, 7-容認, 8-喜び",とても行きたい,いいえ,家族,"1-関心, 7-敬愛",ない,,
男性,"1-期待, 5-驚き, 6-不安",どちらでもない,,専門ガイド,"1-関心, 5-驚き, 6-不安",ない,,,"4-哀愁, 7-敬愛, 7-信頼, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,8-平穏,全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 2-怒り, 2-苛立ち, 3-強い嫌悪, 3-うんざり, 4-悲嘆, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き",行きたい,どちらでもない,専門ガイド,"1-期待, 1-関心, 5-驚嘆, 7-信頼",ない,,,"7-容認, 8-喜び, 8-平穏",どちらでもない,,友人,"1-期待, 7-信頼, 8-喜び, 8-平穏",ない,,,3-うんざり,全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-信頼",行きたくない,,専門ガイド,"1-関心, 5-驚き, 7-信頼, 8-喜び",ない,,,"2-怒り, 2-苛立ち, 3-強い嫌悪, 3-うんざり, 4-悲しみ, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚嘆, 8-恍惚",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚嘆, 7-信頼, 8-喜び",ない,,
男性,"1-警戒, 1-関心, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 5-放心, 7-容認, 8-平穏",どちらでもない,,家族,"1-期待, 1-関心, 7-敬愛, 7-信頼, 8-喜び",ない,,,"1-関心, 3-うんざり, 4-哀愁, 5-放心, 7-容認, 8-平穏",行きたくない,,友人,"1-期待, 1-関心, 7-敬愛, 7-信頼, 7-容認, 8-喜び, 8-平穏",ある,1〜2時間,思わない,"1-警戒, 3-うんざり, 4-悲しみ, 4-哀愁, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 3-うんざり, 5-驚き, 5-放心, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 4-哀愁, 5-驚き, 5-放心, 7-容認, 8-平穏",どちらでもない,,家族,"1-期待, 1-関心, 5-驚き, 5-放心, 7-信頼, 7-容認, 8-平穏",ない,,,"1-関心, 2-苛立ち, 3-嫌悪, 3-うんざり, 4-悲しみ, 4-哀愁, 6-不安, 8-平穏",行きたくない,,友人,"1-関心, 4-哀愁, 7-信頼, 7-容認, 8-平穏",ある,30分未満,思わない,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 5-放心, 7-信頼, 7-容認",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 5-放心, 7-信頼, 7-容認",ない,,,"1-警戒, 1-期待, 1-関心, 2-苛立ち, 3-嫌悪, 3-うんざり, 4-悲しみ, 4-哀愁, 5-放心, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-警戒, 1-期待, 1-関心, 2-怒り, 2-苛立ち, 3-嫌悪, 3-うんざり, 4-悲しみ, 4-哀愁, 5-驚き, 5-放心, 6-恐れ, 6-不安",ない,,,"1-期待, 1-関心, 4-哀愁, 5-驚嘆, 5-驚き, 5-放心, 7-信頼, 7-容認, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 7-信頼, 7-容認, 8-喜び, 8-平穏",ない,,
男性,"3-うんざり, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"7-信頼, 7-容認, 8-喜び",行きたい,いいえ,家族,"7-信頼, 7-容認, 8-喜び",ない,,,"7-容認, 8-平穏",行きたい,はい,,,ない,,,"5-驚嘆, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 5-驚き, 7-信頼",行きたい,はい,,,ない,,,"1-期待, 7-容認, 8-喜び",行きたい,はい,,,ない,,,"7-信頼, 7-容認, 8-平穏",行きたい,はい,,,ある,1〜2時間,訪れたい,"1-関心, 5-驚き",行きたい,いいえ,専門ガイド,"1-関心, 5-驚き, 7-信頼",ない,,,"1-関心, 5-驚き, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 8-平穏",行きたくない,,それでも行きたくない,,ない,,
女性,"5-驚き, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-期待, 6-不安, 7-信頼",ない,,,"5-放心, 8-平穏",行きたい,いいえ,家族,"8-喜び, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚き",行きたくない,,専門ガイド,"1-関心, 7-信頼",ない,,,"1-関心, 5-驚嘆, 5-驚き, 5-放心",行きたくない,,専門ガイド,"1-関心, 7-信頼",ない,,,"1-関心, 5-驚き, 8-喜び, 8-平穏",行きたい,いいえ,家族,"5-放心, 7-敬愛, 7-信頼, 8-喜び, 8-平穏",ない,,,"1-関心, 7-信頼, 8-喜び, 8-平穏",行きたい,いいえ,家族,"7-信頼, 8-喜び, 8-平穏",ない,,,"1-関心, 5-驚嘆, 5-驚き, 8-喜び",とても行きたい,いいえ,家族,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,,"1-関心, 5-驚き",行きたい,いいえ,家族,"1-期待, 1-関心, 8-喜び",ない,,,"1-期待, 1-関心, 4-哀愁, 5-放心, 8-平穏",とても行きたい,いいえ,家族,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",ない,,,"1-関心, 5-驚き, 7-敬愛",行きたい,いいえ,専門ガイド,"1-関心, 5-驚き, 7-敬愛, 7-信頼",ない,,
男性,"1-期待, 5-驚き",行きたい,はい,,,ない,,,"1-関心, 5-驚き, 8-平穏",行きたい,いいえ,友人,"1-期待, 7-信頼, 8-喜び",ない,,,"1-期待, 7-信頼, 8-喜び, 8-平穏",とても行きたい,はい,,,ある,半日程度,訪れたい,"1-関心, 4-悲しみ, 7-容認",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-容認, 8-平穏",どちらでもない,,誰とでもいい,"1-期待, 5-驚き",ない,,,"7-信頼, 8-平穏",行きたくない,,それでも行きたくない,,ある,30分未満,思わない,"1-関心, 5-驚き",行きたい,はい,,,ない,,,"1-関心, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き",行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,
男性,"1-警戒, 2-苛立ち, 3-うんざり",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 7-信頼, 8-喜び, 8-平穏",とても行きたい,はい,,,ない,,,"3-うんざり, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-哀愁, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"2-苛立ち, 3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,わからない,,,"2-苛立ち, 7-容認",行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"7-容認, 8-平穏",ない,,,"4-哀愁, 7-容認, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 4-哀愁, 6-不安",行きたくない,,他人（ツアーなど）,"5-驚き, 7-容認",ない,,
女性,"1-期待, 1-関心, 6-不安",行きたくない,,専門ガイド,"1-期待, 8-喜び",ない,,,"7-信頼, 8-喜び, 8-平穏",行きたい,いいえ,家族,8-喜び,ある,1〜2時間,訪れたい,"2-怒り, 2-苛立ち, 3-嫌悪, 3-うんざり, 5-驚き, 5-放心",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたくない,,友人,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",とても行きたい,いいえ,友人,"1-期待, 8-喜び",ある,1日以上,ぜひ訪れたい,"4-哀愁, 8-喜び, 8-平穏",とても行きたい,はい,,,ある,半日程度,ぜひ訪れたい,"1-関心, 7-信頼, 8-平穏",行きたくない,,他人（ツアーなど）,"1-関心, 8-喜び",ない,,,"2-苛立ち, 3-嫌悪, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-敬愛, 7-信頼, 8-喜び, 8-平穏",どちらでもない,,他人（ツアーなど）,1-関心,ない,,
男性,"2-苛立ち, 5-放心, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-敬愛, 7-信頼, 7-容認, 8-平穏",行きたい,いいえ,家族,"1-期待, 8-喜び",ない,,,"4-哀愁, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 5-放心",行きたくない,,友人,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心, 7-容認, 8-平穏",行きたい,いいえ,家族,"7-信頼, 8-喜び",ない,,,"3-うんざり, 4-哀愁",どちらでもない,,友人,"7-信頼, 7-容認, 8-平穏",ある,1〜2時間,どちらでもない,"1-関心, 7-信頼, 7-容認, 8-平穏",行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"2-苛立ち, 3-嫌悪, 3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"4-悲しみ, 4-哀愁, 5-放心, 7-容認",全く行きたくない,,それでも行きたくない,,ない,,
男性,"1-警戒, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-関心, 7-信頼, 8-平穏",ない,,,4-哀愁,どちらでもない,,友人,"7-信頼, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚き, 8-喜び",行きたい,いいえ,友人,"1-期待, 1-関心, 5-驚き, 7-信頼, 8-喜び",ない,,,"1-警戒, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-関心, 7-信頼, 8-平穏",ない,,,"1-関心, 6-恐れ, 6-不安",どちらでもない,,友人,"1-関心, 7-信頼, 8-平穏",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,"1-関心, 8-喜び",ない,,,1-関心,どちらでもない,,友人,8-平穏,ない,,,"1-関心, 6-不安",どちらでもない,,友人,1-関心,ない,,,1-関心,どちらでもない,,友人,"1-関心, 8-平穏",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,1-関心,ない,,
男性,"1-警戒, 1-期待, 6-不安",行きたくない,,友人,8-喜び,ない,,,"8-喜び, 8-平穏",どちらでもない,,家族,8-喜び,ない,,,8-平穏,全く行きたくない,,それでも行きたくない,,ない,,,8-平穏,どちらでもない,,友人,"1-期待, 8-喜び",ない,,,"1-関心, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,8-平穏,全く行きたくない,,それでも行きたくない,,ない,,,8-平穏,どちらでもない,,家族,8-喜び,ない,,,8-平穏,全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,1-関心,全く行きたくない,,それでも行きたくない,,ない,,
男性,"1-警戒, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"7-容認, 8-平穏",行きたい,どちらでもない,友人,8-平穏,ない,,,"8-喜び, 8-平穏",行きたい,いいえ,友人,8-喜び,ある,半日程度,訪れたい,"1-警戒, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 8-平穏",どちらでもない,,友人,1-関心,ない,,,"1-期待, 8-喜び, 8-平穏",行きたい,どちらでもない,友人,8-喜び,ない,,,"8-恍惚, 8-平穏",行きたい,はい,,,ある,30分未満,訪れたい,"1-期待, 1-関心",どちらでもない,,友人,1-関心,ない,,,"1-関心, 8-恍惚, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 1-関心, 5-驚き",どちらでもない,,誰とでもいい,"1-関心, 5-驚き",ない,,
女性,"1-警戒, 1-期待, 5-驚嘆, 6-恐れ, 6-不安, 8-喜び",とても行きたい,いいえ,友人,7-信頼,ない,,,"1-関心, 8-喜び, 8-平穏",行きたい,いいえ,家族,"7-信頼, 8-平穏",ない,,,"1-期待, 8-喜び",行きたい,いいえ,家族,7-信頼,ない,,,"1-警戒, 1-関心, 5-驚嘆, 5-驚き, 6-恐れ, 6-不安",どちらでもない,,専門ガイド,7-信頼,ない,,,"5-驚き, 6-不安",行きたくない,,家族,"7-信頼, 8-平穏",ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",とても行きたい,どちらでもない,家族,"7-信頼, 8-平穏",ない,,,1-関心,行きたくない,,誰とでもいい,8-平穏,わからない,,,1-関心,全く行きたくない,,専門ガイド,1-関心,ない,,,"3-うんざり, 5-放心",全く行きたくない,,それでも行きたくない,,ない,,,1-警戒,全く行きたくない,,それでも行きたくない,,ない,,
女性,"1-期待, 5-驚き",行きたくない,,家族,8-平穏,ない,,,8-平穏,とても行きたい,いいえ,家族,"1-関心, 8-喜び",ない,,,5-驚き,どちらでもない,,誰とでもいい,7-信頼,ない,,,"1-警戒, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"8-喜び, 8-平穏",行きたい,どちらでもない,家族,8-喜び,ない,,,8-恍惚,とても行きたい,はい,,,ない,,,"5-驚き, 6-不安",どちらでもない,,専門ガイド,8-平穏,ない,,,6-不安,全く行きたくない,,それでも行きたくない,,ない,,,1-期待,行きたい,いいえ,家族,"1-期待, 1-関心",ない,,
女性,6-不安,どちらでもない,,専門ガイド,1-関心,ない,,,8-平穏,行きたい,はい,,,ない,,,7-容認,どちらでもない,,家族,1-関心,ない,,,1-関心,どちらでもない,,家族,8-平穏,ない,,,1-関心,行きたい,はい,,,ない,,,8-平穏,行きたい,はい,,,ない,,,7-容認,どちらでもない,,友人,8-平穏,ある,30分未満,どちらでもない,1-関心,どちらでもない,,専門ガイド,7-容認,ない,,,3-うんざり,行きたくない,,家族,1-関心,ある,30分未満,思わない,1-関心,行きたい,はい,,,ない,,
