BG-Q5. 性別を教えてください。,1a-Q1. 「北国の深い山地で、樹齢数百年のブナが天蓋のように茂る手つかずの森」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）,1a-Q2. 「北国の深い山地で、樹齢数百年のブナが天蓋のように茂る手つかずの森」について「行きたい」と思うかを評価してください。,1a-Q3. 一人で行きたいですか？,1a-Q4. 誰かと一緒なら行きたいと思いますか？,1a-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1a-Q6. 過去に行ったことがありますか？,1a-Q7. その場所での滞在時間はどのくらいでしたか？,1a-Q8. 再び訪れたいと思いますか？,1b-Q1. 「苔とシダに覆われ、年間を通じて霧雨に包まれる亜熱帯の渓谷」に対してどのような感情を抱きますか？（複数選択可）,1b-Q2. 「苔とシダに覆われ、年間を通じて霧雨に包まれる亜熱帯の渓谷」について「行きたい」と思うかを評価してください。,1b-Q3. 一人で行きたいですか？,1b-Q4. 誰かと一緒なら行きたいと思いますか？,1b-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1b-Q6. 過去に行ったことがありますか？,1b-Q7. その場所での滞在時間はどのくらいでしたか？,1b-Q8. 再び訪れたいと思いますか？,1c-Q1. 「海を見下ろす岩穴がそのまま雨風よけになり、焚き火の跡だけが残る絶壁」に対してどのような感情を抱きますか？（複数選択可）,1c-Q2. 「海を見下ろす岩穴がそのまま雨風よけになり、焚き火の跡だけが残る絶壁」について「行きたい」と思うかを評価してください。,1c-Q3. 一人で行きたいですか？,1c-Q4. 誰かと一緒なら行きたいと思いますか？,1c-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1c-Q6. 過去に行ったことがありますか？,1c-Q7. その場所での滞在時間はどのくらいでしたか？,1c-Q8. 再び訪れたいと思いますか？,1d-Q1. 「山頂で黒い溶岩を積み上げただけの小さな石室が強風から登山者を守る峰」に対してどのような感情を抱きますか？（複数選択可）,1d-Q2. 「山頂で黒い溶岩を積み上げただけの小さな石室が強風から登山者を守る峰」について「行きたい」と思うかを評価してください。,1d-Q3. 一人で行きたいですか？,1d-Q4. 誰かと一緒なら行きたいと思いますか？,1d-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1d-Q6. 過去に行ったことがありますか？,1d-Q7. その場所での滞在時間はどのくらいでしたか？,1d-Q8. 再び訪れたいと思いますか？,1e-Q1. 「豪雪をいなす急勾配の茅葺き屋根が三角形に並ぶ川沿いの山村」に対してどのような感情を抱きますか？（複数選択可）,1e-Q2. 「豪雪をいなす急勾配の茅葺き屋根が三角形に並ぶ川沿いの山村」について「行きたい」と思うかを評価してください。,1e-Q3. 一人で行きたいですか？,1e-Q4. 誰かと一緒なら行きたいと思いますか？,1e-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1e-Q6. 過去に行ったことがありますか？,1e-Q7. その場所での滞在時間はどのくらいでしたか？,1e-Q8. 再び訪れたいと思いますか？,1f-Q1. 「海に迫る急斜面を小さな田んぼに区切り、石垣が千枚重なる棚田」に対してどのような感情を抱きますか？（複数選択可）,1f-Q2. 「海に迫る急斜面を小さな田んぼに区切り、石垣が千枚重なる棚田」について「行きたい」と思うかを評価してください。,1f-Q3. 一人で行きたいですか？,1f-Q4. 誰かと一緒なら行きたいと思いますか？,1f-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1f-Q6. 過去に行ったことがありますか？,1f-Q7. その場所での滞在時間はどのくらいでしたか？,1f-Q8. 再び訪れたいと思いますか？,1g-Q1. 「海底トンネルと長橋がつながり、中ほどに展望フロアを抱く海上休憩施設」に対してどのような感情を抱きますか？（複数選択可）,1g-Q2. 「海底トンネルと長橋がつながり、中ほどに展望フロアを抱く海上休憩施設」について「行きたい」と思うかを評価してください。,1g-Q3. 一人で行きたいですか？,1g-Q4. 誰かと一緒なら行きたいと思いますか？,1g-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1g-Q6. 過去に行ったことがありますか？,1g-Q7. その場所での滞在時間はどのくらいでしたか？,1g-Q8. 再び訪れたいと思いますか？,1h-Q1. 「一日に数十万人が交差する高速鉄道と在来線の巨大ターミナル駅」に対してどのような感情を抱きますか？（複数選択可）,1h-Q2. 「一日に数十万人が交差する高速鉄道と在来線の巨大ターミナル駅」について「行きたい」と思うかを評価してください。,1h-Q3. 一人で行きたいですか？,1h-Q4. 誰かと一緒なら行きたいと思いますか？,1h-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1h-Q6. 過去に行ったことがありますか？,1h-Q7. その場所での滞在時間はどのくらいでしたか？,1h-Q8. 再び訪れたいと思いますか？,1i-Q1. 「研究機関と大学が放射状に配置され、中央に広大な公園が広がる計画都市」に対してどのような感情を抱きますか？（複数選択可）,1i-Q2. 「研究機関と大学が放射状に配置され、中央に広大な公園が広がる計画都市」について「行きたい」と思うかを評価してください。,1i-Q3. 一人で行きたいですか？,1i-Q4. 誰かと一緒なら行きたいと思いますか？,1i-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1i-Q6. 過去に行ったことがありますか？,1i-Q7. その場所での滞在時間はどのくらいでしたか？,1i-Q8. 再び訪れたいと思いますか？,1j-Q1. 「超高層ビルと美術館、住宅棟を立体的に組み合わせ、屋上庭園が点在する再開発地区」に対してどのような感情を抱きますか？（複数選択可）,1j-Q2. 「超高層ビルと美術館、住宅棟を立体的に組み合わせ、屋上庭園が点在する再開発地区」について「行きたい」と思うかを評価してください。,1j-Q3. 一人で行きたいですか？,1j-Q4. 誰かと一緒なら行きたいと思いますか？,1j-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,1j-Q6. 過去に行ったことがありますか？,1j-Q7. その場所での滞在時間はどのくらいでしたか？,1j-Q8. 再び訪れたいと思いますか？
男性,"5-驚嘆, 5-驚き",行きたくない,,友人,"7-信頼, 8-平穏",ない,,,"1-警戒, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,友人,7-信頼,ない,,,"4-哀愁, 6-不安",どちらでもない,,友人,"7-信頼, 8-平穏",ない,,,"1-期待, 8-平穏",全く行きたくない,,友人,7-信頼,ない,,,"1-期待, 1-関心",行きたい,いいえ,友人,"1-期待, 1-関心, 8-喜び",ない,,,"1-期待, 5-驚嘆, 5-驚き",行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き",とても行きたい,いいえ,友人,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心",行きたい,いいえ,友人,1-関心,ある,1〜2時間,訪れたい,"1-関心, 5-驚嘆, 5-驚き",どちらでもない,,友人,"1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",行きたい,いいえ,友人,"1-期待, 1-関心, 8-喜び",ない,,
男性,"1-警戒, 5-放心, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 5-驚き, 5-放心, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 5-放心, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 5-放心, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-容認",行きたい,はい,,,ない,,,"1-警戒, 3-嫌悪, 3-うんざり, 5-放心, 6-不安",行きたくない,,それでも行きたくない,,わからない,,,"1-期待, 1-関心, 7-容認",どちらでもない,,家族,7-容認,ない,,,"1-期待, 1-関心, 8-喜び",行きたい,はい,,,ない,,
男性,"1-期待, 1-関心, 7-容認, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 8-恍惚, 8-喜び, 8-平穏",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚嘆, 5-驚き, 6-恐れ",行きたくない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-信頼, 7-容認, 8-喜び, 8-平穏",ない,,,"1-警戒, 1-関心, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,家族,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",ない,,,"1-警戒, 5-驚嘆, 5-驚き, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-期待, 1-関心, 7-信頼, 7-容認, 8-喜び, 8-平穏",ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",行きたい,はい,,,ある,1〜2時間,訪れたい,"1-期待, 1-関心, 5-驚き, 7-容認, 8-喜び, 8-平穏",とても行きたい,いいえ,家族,"1-期待, 1-関心, 7-信頼, 7-容認, 8-恍惚, 8-喜び, 8-平穏",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚嘆, 5-驚き",行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚嘆, 5-驚き, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,家族,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",ある,1〜2時間,思わない,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 1-関心, 5-驚き, 7-信頼, 8-喜び, 8-平穏",とても行きたい,はい,,,ない,,
女性,"5-驚嘆, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"5-驚き, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-関心, 5-驚き",ない,,,"1-警戒, 5-驚き, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚嘆, 6-不安",行きたい,いいえ,家族,"1-関心, 5-驚き",ない,,,"1-関心, 5-驚嘆",どちらでもない,,家族,"1-関心, 5-驚き",ない,,,"1-期待, 1-関心, 5-驚き",行きたい,いいえ,家族,"1-期待, 1-関心, 5-驚き, 7-信頼",ない,,,"5-驚き, 6-不安",どちらでもない,,家族,"1-関心, 5-驚き, 7-信頼",わからない,,,"1-期待, 1-関心, 5-驚き",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-信頼",ない,,,"1-期待, 1-関心, 5-驚き",行きたい,いいえ,家族,"1-期待, 1-関心, 5-驚き, 7-信頼",ない,,
男性,"1-警戒, 1-関心, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-哀愁, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-悲しみ, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 4-哀愁, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-哀愁, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-容認",行きたい,はい,,,ない,,,"3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-信頼, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 8-平穏",行きたい,はい,,,ない,,
男性,"1-警戒, 6-不安",行きたくない,,専門ガイド,"1-期待, 7-容認",ある,半日程度,思わない,"1-警戒, 3-嫌悪, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-哀愁",どちらでもない,,誰とでもいい,"1-期待, 1-関心",ない,,,"5-放心, 6-不安",行きたくない,,専門ガイド,"1-期待, 7-容認, 8-平穏",ない,,,"1-関心, 5-驚き, 8-喜び",行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"1-関心, 5-驚き, 8-喜び",どちらでもない,,友人,"1-期待, 8-喜び",ない,,,"1-期待, 5-驚嘆, 6-不安",行きたい,いいえ,友人,"1-期待, 5-驚嘆, 8-喜び",ない,,,"1-警戒, 3-うんざり, 6-不安",行きたくない,,それでも行きたくない,,ある,1〜2時間,思わない,"1-関心, 7-信頼, 8-平穏",行きたい,どちらでもない,友人,"7-信頼, 8-平穏",ない,,,"3-うんざり, 4-哀愁",行きたくない,,それでも行きたくない,,ない,,
女性,"1-期待, 1-関心, 8-喜び",行きたい,はい,,,ない,,,"1-期待, 1-関心",行きたい,いいえ,専門ガイド,"7-信頼, 7-容認",ない,,,"1-警戒, 5-驚き, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 5-驚嘆, 5-驚き, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心",行きたい,はい,,,ない,,,"1-期待, 1-関心, 8-喜び",とても行きたい,いいえ,家族,"1-期待, 1-関心, 7-信頼, 7-容認, 8-喜び",ない,,,"3-うんざり, 5-放心, 6-不安",行きたくない,,それでも行きたくない,,わからない,,,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",とても行きたい,いいえ,家族,"1-期待, 7-信頼, 7-容認, 8-喜び, 8-平穏",わからない,,,"1-期待, 1-関心, 7-信頼, 7-容認, 8-喜び, 8-平穏",とても行きたい,いいえ,家族,"1-期待, 1-関心, 7-信頼, 7-容認, 8-喜び, 8-平穏",わからない,,
男性,"4-哀愁, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 2-苛立ち, 3-うんざり",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐れ",どちらでもない,,他人（ツアーなど）,"1-関心, 5-驚き",ない,,,"1-関心, 6-不安",どちらでもない,,それでも行きたくない,,ない,,,"4-哀愁, 8-平穏",行きたい,はい,,,ない,,,"1-関心, 7-容認, 8-平穏",行きたい,いいえ,他人（ツアーなど）,"1-期待, 7-信頼, 8-喜び",ない,,,8-平穏,行きたくない,,それでも行きたくない,,ない,,,"2-苛立ち, 3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ある,30分〜1時間,思わない,"1-関心, 6-不安",行きたくない,,他人（ツアーなど）,"1-関心, 7-容認",ない,,,"1-関心, 6-恐れ, 6-不安",どちらでもない,,他人（ツアーなど）,"5-驚き, 7-容認, 8-平穏",ない,,
男性,"1-関心, 5-驚き",行きたい,はい,,,ない,,,"3-うんざり, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 5-驚嘆",行きたい,はい,,,ない,,,"1-期待, 1-関心, 5-驚き",行きたい,はい,,,ない,,,"1-関心, 8-平穏",行きたい,いいえ,他人（ツアーなど）,"1-期待, 7-信頼",ない,,,"1-関心, 8-喜び, 8-平穏",行きたい,いいえ,友人,"1-期待, 5-驚き, 8-喜び",ない,,,"1-期待, 7-信頼, 8-平穏",行きたくない,,友人,"7-容認, 8-喜び",ない,,,"3-うんざり, 5-驚き",全く行きたくない,,友人,"1-期待, 8-平穏",ある,30分未満,どちらでもない,"1-関心, 7-容認, 8-平穏",どちらでもない,,友人,"1-期待, 7-信頼, 8-喜び",ない,,,"1-関心, 5-驚き, 8-平穏",どちらでもない,,友人,"1-期待, 5-驚嘆, 8-喜び, 8-平穏",ない,,
男性,"5-驚き, 5-放心, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-期待, 1-関心, 7-信頼, 7-容認",ない,,,"3-嫌悪, 3-うんざり, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 4-哀愁, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-期待, 7-信頼, 7-容認",ない,,,"4-哀愁, 5-放心, 6-不安",行きたくない,,友人,"7-容認, 8-平穏",ない,,,"1-期待, 1-関心, 4-哀愁, 5-驚き",行きたい,いいえ,家族,"7-信頼, 8-喜び",ない,,,"1-関心, 5-驚き, 5-放心",どちらでもない,,友人,"7-容認, 8-平穏",ない,,,"1-期待, 1-関心, 6-不安",とても行きたい,いいえ,家族,"1-期待, 7-容認, 8-喜び",ない,,,"2-苛立ち, 3-うんざり, 5-放心",行きたくない,,家族,"7-容認, 8-平穏",ある,1〜2時間,思わない,"1-関心, 7-信頼, 7-容認, 8-平穏",どちらでもない,,友人,"7-信頼, 8-喜び",ない,,,"1-関心, 5-驚き, 5-放心",どちらでもない,,家族,"1-関心, 7-信頼, 7-容認, 8-喜び",ない,,
女性,"1-関心, 5-驚き, 6-恐れ",行きたい,いいえ,専門ガイド,"1-期待, 7-信頼, 8-平穏",ない,,,"3-嫌悪, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,8-平穏,どちらでもない,,家族,"1-期待, 1-関心, 8-喜び",ない,,,8-平穏,どちらでもない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 5-驚き, 8-喜び",行きたい,いいえ,家族,"1-期待, 1-関心, 8-恍惚, 8-喜び",ない,,,3-うんざり,全く行きたくない,,それでも行きたくない,,ない,,,1-期待,どちらでもない,,友人,"1-期待, 1-関心",ない,,,"1-期待, 8-平穏",行きたくない,,それでも行きたくない,,ない,,
男性,5-驚嘆,どちらでもない,,誰とでもいい,"5-驚き, 8-喜び",ない,,,"5-驚嘆, 5-放心, 8-平穏",どちらでもない,,誰とでもいい,"1-期待, 5-驚嘆, 8-喜び",ない,,,1-警戒,行きたくない,,誰とでもいい,1-期待,ない,,,"5-驚き, 7-敬愛",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 8-平穏",どちらでもない,,誰とでもいい,"1-期待, 1-関心",ない,,,"5-驚き, 8-平穏",行きたくない,,誰とでもいい,1-期待,ない,,,"1-期待, 1-関心, 5-驚き, 8-喜び",行きたい,はい,,,ない,,,7-信頼,どちらでもない,,誰とでもいい,1-期待,ある,30分〜1時間,どちらでもない,"1-関心, 7-信頼",どちらでもない,,誰とでもいい,"1-期待, 1-関心",ない,,,"5-驚嘆, 5-驚き",行きたくない,,誰とでもいい,"1-期待, 1-関心",ない,,
男性,5-驚き,行きたくない,,家族,5-驚き,ない,,,1-関心,行きたい,はい,,,ある,1〜2時間,訪れたい,"5-放心, 6-恐怖",行きたくない,,それでも行きたくない,,ない,,,7-信頼,どちらでもない,,専門ガイド,7-信頼,ない,,,"1-関心, 8-平穏",行きたい,いいえ,家族,8-平穏,ある,半日程度,訪れたい,8-平穏,とても行きたい,いいえ,家族,1-関心,ある,1〜2時間,訪れたい,1-関心,行きたい,どちらでもない,家族,1-関心,わからない,,,3-うんざり,行きたくない,,それでも行きたくない,,ある,30分〜1時間,思わない,1-関心,行きたい,はい,,,ある,1〜2時間,訪れたい,1-期待,とても行きたい,どちらでもない,家族,1-期待,ある,半日程度,ぜひ訪れたい
男性,"1-期待, 1-関心, 7-敬愛, 7-信頼",行きたい,いいえ,友人,"7-信頼, 7-容認",ない,,,"3-嫌悪, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"5-驚嘆, 5-驚き, 8-恍惚",行きたい,いいえ,友人,8-恍惚,ない,,,"7-信頼, 7-容認, 8-平穏",行きたい,いいえ,誰とでもいい,"7-信頼, 8-平穏",ない,,,"1-期待, 1-関心, 7-信頼, 7-容認, 8-平穏",行きたい,いいえ,誰とでもいい,"1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",とても行きたい,いいえ,誰とでもいい,"1-期待, 8-喜び",ない,,,"5-驚嘆, 5-驚き, 8-恍惚",とても行きたい,いいえ,誰とでもいい,8-恍惚,ない,,,"1-期待, 1-関心, 7-信頼",行きたい,いいえ,友人,"1-期待, 1-関心",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き",行きたい,いいえ,友人,"1-期待, 1-関心",ない,,
女性,"1-期待, 5-驚嘆, 5-驚き, 8-恍惚",とても行きたい,いいえ,家族,"1-期待, 6-恐れ",ない,,,1-関心,行きたい,いいえ,家族,"5-驚嘆, 6-不安",ない,,,"1-警戒, 5-驚き, 6-不安",行きたい,いいえ,家族,"1-関心, 5-驚嘆",ない,,,"1-警戒, 1-関心, 6-恐怖, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 4-哀愁, 5-驚嘆, 5-驚き, 8-恍惚",行きたい,いいえ,家族,4-哀愁,ない,,,"1-期待, 7-信頼, 8-恍惚, 8-喜び",とても行きたい,いいえ,家族,"8-恍惚, 8-喜び",ある,30分〜1時間,ぜひ訪れたい,"5-驚き, 8-恍惚",行きたい,いいえ,家族,"7-信頼, 8-喜び",ない,,,"2-苛立ち, 3-強い嫌悪, 3-嫌悪, 3-うんざり",全く行きたくない,,それでも行きたくない,,ある,30分未満,まったく思わない,"5-驚嘆, 7-敬愛",行きたい,はい,,,ない,,,"1-期待, 5-驚嘆, 5-驚き",とても行きたい,はい,,,ない,,
男性,"1-警戒, 5-驚嘆, 6-不安",行きたい,いいえ,友人,8-平穏,ない,,,"1-警戒, 5-驚き, 6-不安",行きたくない,,それでも行きたくない,,ない,,,1-関心,行きたい,はい,,,ない,,,"1-警戒, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,4-哀愁,どちらでもない,,友人,"8-喜び, 8-平穏",ない,,,"5-驚嘆, 8-平穏",とても行きたい,はい,,,ない,,,"1-期待, 1-関心, 5-驚き, 8-喜び",とても行きたい,はい,,,ある,30分未満,ぜひ訪れたい,"1-警戒, 6-不安",全く行きたくない,,友人,8-平穏,ある,30分未満,まったく思わない,"1-関心, 8-平穏",どちらでもない,,誰とでもいい,8-平穏,ない,,,"1-関心, 5-驚き",行きたい,どちらでもない,友人,8-平穏,ない,,
男性,"5-驚嘆, 5-驚き, 5-放心",行きたくない,,それでも行きたくない,,ない,,,"6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"6-恐怖, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 5-驚嘆",行きたい,はい,,,ない,,,"8-恍惚, 8-平穏",行きたい,はい,,,ある,30分〜1時間,訪れたい,"8-恍惚, 8-喜び, 8-平穏",行きたい,はい,,,ある,1〜2時間,訪れたい,"5-驚嘆, 5-驚き",とても行きたい,はい,,,ある,1〜2時間,ぜひ訪れたい,"6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"7-信頼, 7-容認",行きたくない,,それでも行きたくない,,ない,,,"7-敬愛, 7-信頼",行きたい,はい,,,ある,30分〜1時間,訪れたい
女性,"1-関心, 7-敬愛, 7-信頼, 8-平穏",行きたい,はい,,,ない,,,"3-うんざり, 6-不安",全く行きたくない,,他人（ツアーなど）,1-関心,ない,,,"5-驚き, 6-恐れ, 6-不安",行きたくない,,他人（ツアーなど）,"1-関心, 7-信頼",ない,,,"6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 4-哀愁, 7-敬愛",行きたい,はい,,,ない,,,"7-信頼, 8-平穏",どちらでもない,,他人（ツアーなど）,"1-期待, 1-関心",ない,,,"1-期待, 1-関心",とても行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"1-警戒, 3-うんざり, 6-不安",行きたくない,,誰とでもいい,7-信頼,ある,1〜2時間,思わない,1-関心,どちらでもない,,誰とでもいい,"1-関心, 7-信頼",ない,,,"1-期待, 7-容認, 8-喜び",行きたい,はい,,,ある,半日程度,訪れたい
男性,"5-驚き, 7-信頼, 8-平穏",行きたい,いいえ,専門ガイド,"5-驚き, 7-信頼",ない,,,"3-強い嫌悪, 3-嫌悪, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐怖, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"6-恐れ, 6-不安",全く行きたくない,,専門ガイド,6-不安,ない,,,8-平穏,どちらでもない,,友人,8-平穏,ない,,,"1-期待, 1-関心, 6-不安",行きたい,いいえ,友人,"1-期待, 1-関心",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,"1-関心, 5-驚き",ない,,,"1-期待, 1-関心, 5-驚き",どちらでもない,,友人,"1-期待, 1-関心, 5-驚き",ない,,,"1-期待, 1-関心, 5-驚き",どちらでもない,,友人,"1-期待, 1-関心, 5-驚き",ない,,
女性,"1-警戒, 1-関心, 7-敬愛",とても行きたい,いいえ,家族,"1-期待, 7-敬愛, 7-容認, 8-恍惚",ない,,,"1-警戒, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-警戒, 1-期待, 7-容認",ない,,,"1-警戒, 5-放心, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"5-放心, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-警戒, 1-期待, 1-関心, 6-恐怖, 6-恐れ, 6-不安",ない,,,"1-警戒, 1-関心, 7-容認",行きたい,はい,,,ある,半日程度,ぜひ訪れたい,"1-期待, 1-関心, 5-驚き, 7-容認",行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 7-容認",ない,,,"1-期待, 1-関心, 7-容認",行きたい,いいえ,家族,"1-期待, 1-関心, 7-容認",ない,,
