BG-Q5. 性別を教えてください。,2a-Q1. 「冬に氷の塊が海岸を埋め尽くし、断崖の上に原野が広がる岬」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）,2a-Q2. 「冬に氷の塊が海岸を埋め尽くし、断崖の上に原野が広がる岬」について「行きたい」と思うかを評価してください。,2a-Q3. 一人で行きたいですか？,2a-Q4. 誰かと一緒なら行きたいと思いますか？,2a-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2a-Q6. 過去に行ったことがありますか？,2a-Q7. その場所での滞在時間はどのくらいでしたか？,2a-Q8. 再び訪れたいと思いますか？,2b-Q1. 「星明かりの下でウミガメが静かに産卵する白い砂の入り江」に対してどのような感情を抱きますか？（複数選択可）,2b-Q2. 「星明かりの下でウミガメが静かに産卵する白い砂の入り江」について「行きたい」と思うかを評価してください。,2b-Q3. 一人で行きたいですか？,2b-Q4. 誰かと一緒なら行きたいと思いますか？,2b-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2b-Q6. 過去に行ったことがありますか？,2b-Q7. その場所での滞在時間はどのくらいでしたか？,2b-Q8. 再び訪れたいと思いますか？,2c-Q1. 「巡礼路に点在する板壁と畳の質素な無人小堂」に対してどのような感情を抱きますか？（複数選択可）,2c-Q2. 「巡礼路に点在する板壁と畳の質素な無人小堂」について「行きたい」と思うかを評価してください。,2c-Q3. 一人で行きたいですか？,2c-Q4. 誰かと一緒なら行きたいと思いますか？,2c-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2c-Q6. 過去に行ったことがありますか？,2c-Q7. その場所での滞在時間はどのくらいでしたか？,2c-Q8. 再び訪れたいと思いますか？,2d-Q1. 「川の土手にブルーシートと流木で作った簡易住居が肩を寄せ合う河川敷」に対してどのような感情を抱きますか？（複数選択可）,2d-Q2. 「川の土手にブルーシートと流木で作った簡易住居が肩を寄せ合う河川敷」について「行きたい」と思うかを評価してください。,2d-Q3. 一人で行きたいですか？,2d-Q4. 誰かと一緒なら行きたいと思いますか？,2d-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2d-Q6. 過去に行ったことがありますか？,2d-Q7. その場所での滞在時間はどのくらいでしたか？,2d-Q8. 再び訪れたいと思いますか？,2e-Q1. 「冬の雪を蔵に詰め、夏もひんやりと保存庫として使う集落の雪室」に対してどのような感情を抱きますか？（複数選択可）,2e-Q2. 「冬の雪を蔵に詰め、夏もひんやりと保存庫として使う集落の雪室」について「行きたい」と思うかを評価してください。,2e-Q3. 一人で行きたいですか？,2e-Q4. 誰かと一緒なら行きたいと思いますか？,2e-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2e-Q6. 過去に行ったことがありますか？,2e-Q7. その場所での滞在時間はどのくらいでしたか？,2e-Q8. 再び訪れたいと思いますか？,2f-Q1. 「谷あいに水田が広がり、雑木林と水路がモザイク状に絡む里山の景観」に対してどのような感情を抱きますか？（複数選択可）,2f-Q2. 「谷あいに水田が広がり、雑木林と水路がモザイク状に絡む里山の景観」について「行きたい」と思うかを評価してください。,2f-Q3. 一人で行きたいですか？,2f-Q4. 誰かと一緒なら行きたいと思いますか？,2f-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2f-Q6. 過去に行ったことがありますか？,2f-Q7. その場所での滞在時間はどのくらいでしたか？,2f-Q8. 再び訪れたいと思いますか？,2g-Q1. 「地下深くに巨大な柱列が並び、洪水を受け止める“地下神殿”の遊水施設」に対してどのような感情を抱きますか？（複数選択可）,2g-Q2. 「地下深くに巨大な柱列が並び、洪水を受け止める“地下神殿”の遊水施設」について「行きたい」と思うかを評価してください。,2g-Q3. 一人で行きたいですか？,2g-Q4. 誰かと一緒なら行きたいと思いますか？,2g-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2g-Q6. 過去に行ったことがありますか？,2g-Q7. その場所での滞在時間はどのくらいでしたか？,2g-Q8. 再び訪れたいと思いますか？,2h-Q1. 「沖合の人工島に滑走路とターミナルビルが載る海上空港」に対してどのような感情を抱きますか？（複数選択可）,2h-Q2. 「沖合の人工島に滑走路とターミナルビルが載る海上空港」について「行きたい」と思うかを評価してください。,2h-Q3. 一人で行きたいですか？,2h-Q4. 誰かと一緒なら行きたいと思いますか？,2h-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2h-Q6. 過去に行ったことがありますか？,2h-Q7. その場所での滞在時間はどのくらいでしたか？,2h-Q8. 再び訪れたいと思いますか？,2i-Q1. 「再生可能エネルギーと小型モビリティを一括管理するスマートシティの実証エリア」に対してどのような感情を抱きますか？（複数選択可）,2i-Q2. 「再生可能エネルギーと小型モビリティを一括管理するスマートシティの実証エリア」について「行きたい」と思うかを評価してください。,2i-Q3. 一人で行きたいですか？,2i-Q4. 誰かと一緒なら行きたいと思いますか？,2i-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2i-Q6. 過去に行ったことがありますか？,2i-Q7. その場所での滞在時間はどのくらいでしたか？,2i-Q8. 再び訪れたいと思いますか？,2j-Q1. 「太陽光パネルの屋根が並び、EVと蓄電池が標準装備の環境配慮型住宅地」に対してどのような感情を抱きますか？（複数選択可）,2j-Q2. 「太陽光パネルの屋根が並び、EVと蓄電池が標準装備の環境配慮型住宅地」について「行きたい」と思うかを評価してください。,2j-Q3. 一人で行きたいですか？,2j-Q4. 誰かと一緒なら行きたいと思いますか？,2j-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,2j-Q6. 過去に行ったことがありますか？,2j-Q7. その場所での滞在時間はどのくらいでしたか？,2j-Q8. 再び訪れたいと思いますか？
女性,"2-怒り, 2-苛立ち, 3-嫌悪",行きたくない,,それでも行きたくない,,ない,,,"7-敬愛, 8-恍惚, 8-喜び",行きたい,いいえ,家族,"7-信頼, 8-喜び",ない,,,"4-哀愁, 8-平穏",どちらでもない,,それでも行きたくない,,ない,,,"4-悲しみ, 4-哀愁, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"5-驚嘆, 5-驚き",行きたい,いいえ,家族,"5-驚嘆, 5-驚き, 7-容認, 8-喜び",ない,,,"1-期待, 4-哀愁, 7-信頼, 8-平穏",行きたい,いいえ,家族,"7-敬愛, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き",行きたい,いいえ,家族,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 5-驚き",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 5-驚き",行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-信頼",ない,,
男性,"1-警戒, 1-期待, 5-驚き, 8-喜び, 8-平穏",とても行きたい,はい,,,ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び, 8-平穏",とても行きたい,はい,,,ある,1〜2時間,ぜひ訪れたい,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 7-信頼, 8-恍惚, 8-喜び, 8-平穏",ない,,,"1-警戒, 3-強い嫌悪, 3-嫌悪, 4-悲嘆, 4-悲しみ, 4-哀愁, 6-恐怖, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",とても行きたい,はい,,,ある,1〜2時間,訪れたい,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",とても行きたい,はい,,,ない,,,"1-警戒, 1-期待, 1-関心, 7-容認",行きたくない,,専門ガイド,"7-信頼, 7-容認, 8-喜び, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き",行きたくない,,専門ガイド,"1-期待, 1-関心, 7-信頼",ない,,
男性,"1-警戒, 2-怒り, 2-苛立ち, 3-強い嫌悪, 3-うんざり, 4-悲嘆, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-敬愛, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"4-哀愁, 7-敬愛, 8-平穏",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,,"1-警戒, 3-嫌悪, 4-悲しみ, 4-哀愁, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き",行きたい,どちらでもない,誰とでもいい,"1-関心, 5-驚き, 7-敬愛, 8-平穏",ない,,,"7-敬愛, 7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 5-驚嘆, 6-不安, 8-恍惚, 8-喜び",とても行きたい,どちらでもない,専門ガイド,"1-期待, 5-驚嘆, 7-信頼, 8-恍惚, 8-喜び",ない,,,"7-信頼, 7-容認",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き",どちらでもない,,他人（ツアーなど）,"1-期待, 5-驚き, 8-喜び",ない,,,"3-嫌悪, 3-うんざり, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,
男性,"1-警戒, 4-哀愁, 6-恐怖, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 8-喜び",行きたい,いいえ,友人,"1-期待, 7-信頼",ない,,,"4-哀愁, 8-平穏",行きたくない,,専門ガイド,"1-関心, 7-容認",ない,,,"2-苛立ち, 4-悲嘆, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"7-容認, 8-平穏",行きたくない,,他人（ツアーなど）,"1-関心, 5-驚き",ない,,,"1-関心, 5-驚き, 6-不安",行きたい,いいえ,専門ガイド,"7-信頼, 8-喜び",ない,,,"3-うんざり, 8-平穏",行きたくない,,友人,"1-関心, 7-容認",ある,1〜2時間,どちらでもない,"7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,8-平穏,全く行きたくない,,それでも行きたくない,,ない,,
男性,"1-警戒, 1-関心, 5-驚き, 6-恐れ",どちらでもない,,専門ガイド,"1-期待, 5-驚嘆, 7-容認",ない,,,"1-期待, 5-驚嘆, 7-信頼, 8-喜び, 8-平穏",とても行きたい,はい,,,ない,,,"7-容認, 8-平穏",どちらでもない,,他人（ツアーなど）,"1-関心, 7-容認",ない,,,"4-悲しみ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 8-平穏",どちらでもない,,他人（ツアーなど）,"1-期待, 7-信頼",ない,,,"1-期待, 5-驚嘆, 8-恍惚",とても行きたい,はい,,,ない,,,"7-容認, 8-喜び",どちらでもない,,誰とでもいい,"1-期待, 8-喜び",ある,30分〜1時間,どちらでもない,"1-関心, 7-信頼, 8-平穏",どちらでもない,,誰とでもいい,"1-期待, 5-驚き",ない,,,"7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,
男性,"5-驚き, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 5-驚き, 7-容認, 8-恍惚",とても行きたい,はい,,,ない,,,"2-苛立ち, 3-嫌悪, 5-放心, 6-恐怖, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-悲しみ",行きたくない,,それでも行きたくない,,ある,30分未満,思わない,"1-関心, 8-恍惚",行きたい,いいえ,家族,"5-驚嘆, 7-信頼, 7-容認",ない,,,"1-関心, 7-容認",行きたい,いいえ,友人,8-平穏,ない,,,"1-警戒, 3-強い嫌悪, 6-恐怖, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"3-嫌悪, 3-うんざり",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-信頼",行きたい,はい,,,ない,,,"1-関心, 7-容認",行きたい,はい,,,ない,,
男性,"1-期待, 6-恐れ",行きたい,いいえ,友人,"7-信頼, 8-平穏",ない,,,"1-期待, 8-平穏",行きたい,いいえ,友人,"1-関心, 8-平穏",ない,,,4-悲しみ,行きたくない,,友人,8-平穏,ない,,,"1-警戒, 6-恐れ, 6-不安",全く行きたくない,,友人,"7-信頼, 7-容認, 8-平穏",ない,,,"1-期待, 1-関心",行きたい,いいえ,友人,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,8-平穏,ない,,,"1-期待, 1-関心",行きたい,いいえ,友人,"1-期待, 1-関心, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",行きたい,いいえ,友人,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",ある,1〜2時間,訪れたい,"1-期待, 1-関心",行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 6-不安",どちらでもない,,友人,"1-期待, 1-関心, 7-容認, 8-平穏",ない,,
男性,"5-驚嘆, 5-驚き",行きたい,はい,,,ない,,,"1-関心, 8-平穏",行きたい,はい,,,ない,,,4-哀愁,どちらでもない,,それでも行きたくない,,ない,,,"1-警戒, 4-哀愁, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"5-驚嘆, 5-驚き",とても行きたい,はい,,,ない,,,"5-驚嘆, 5-驚き",行きたい,はい,,,ない,,,"1-関心, 5-驚嘆, 5-驚き",とても行きたい,はい,,,ない,,,5-驚き,どちらでもない,,誰とでもいい,5-驚き,ない,,,"1-期待, 1-関心, 5-驚き",行きたい,はい,,,ない,,,1-関心,どちらでもない,,誰とでもいい,1-関心,ない,,
男性,"1-警戒, 4-哀愁, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き",どちらでもない,,専門ガイド,"1-期待, 5-驚き, 7-信頼",ない,,,"1-関心, 4-哀愁, 8-平穏",どちらでもない,,友人,"1-関心, 8-喜び",ない,,,"1-警戒, 3-嫌悪, 6-恐れ",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 8-喜び",行きたい,いいえ,友人,"1-期待, 5-驚き, 8-喜び",ない,,,"1-関心, 4-哀愁, 8-平穏",どちらでもない,,家族,8-平穏,ある,30分〜1時間,どちらでもない,"1-関心, 5-驚嘆, 6-不安, 8-喜び",行きたい,いいえ,専門ガイド,"1-関心, 5-驚嘆",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,1-関心,ある,30分〜1時間,どちらでもない,"1-期待, 5-驚き, 6-不安",どちらでもない,,専門ガイド,"1-期待, 5-驚き",ない,,,"7-容認, 8-平穏",どちらでもない,,誰とでもいい,7-容認,ある,30分〜1時間,どちらでもない
男性,"5-驚嘆, 5-驚き, 8-恍惚",行きたい,はい,,,ない,,,"8-喜び, 8-平穏",行きたい,はい,,,ない,,,"4-哀愁, 8-喜び, 8-平穏",行きたい,はい,,,ある,30分〜1時間,とても訪れたい,"1-警戒, 3-嫌悪, 6-恐怖, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,8-平穏,行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 8-恍惚, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 5-驚き",行きたい,いいえ,家族,8-平穏,ない,,,8-平穏,行きたい,はい,,,ある,1〜2時間,ぜひ訪れたい,"1-期待, 1-関心",行きたい,はい,,,ない,,,3-うんざり,全く行きたくない,,それでも行きたくない,,ない,,
男性,"3-強い嫌悪, 4-悲嘆, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-敬愛, 7-信頼",とても行きたい,いいえ,誰とでもいい,"1-期待, 1-関心, 7-信頼",ない,,,"4-悲しみ, 4-哀愁",全く行きたくない,,それでも行きたくない,,ない,,,"4-悲しみ, 4-哀愁, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"3-嫌悪, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"7-信頼, 7-容認, 8-平穏",どちらでもない,,友人,"7-信頼, 7-容認",ある,1〜2時間,訪れたい,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-恍惚",とても行きたい,いいえ,誰とでもいい,"1-期待, 8-恍惚",ない,,,"1-期待, 7-信頼, 7-容認",行きたい,いいえ,友人,"1-期待, 7-信頼",ない,,,"1-期待, 1-関心, 7-信頼, 7-容認",行きたい,いいえ,友人,"1-期待, 7-信頼",ない,,,"1-期待, 7-信頼, 7-容認, 8-平穏",どちらでもない,,誰とでもいい,"7-信頼, 7-容認",わからない,,
女性,"1-関心, 5-驚嘆, 5-驚き",行きたい,いいえ,家族,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心, 7-敬愛, 7-信頼, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 4-悲しみ, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 8-平穏",どちらでもない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 5-放心, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 7-容認",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 7-信頼, 7-容認",行きたい,どちらでもない,家族,"1-期待, 1-関心, 5-驚き",ない,,,"1-関心, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,
男性,"1-期待, 4-哀愁",どちらでもない,,家族,"1-期待, 8-喜び, 8-平穏",ない,,,"1-関心, 8-喜び, 8-平穏",行きたくない,,家族,"8-喜び, 8-平穏",ない,,,"4-哀愁, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 4-哀愁",全く行きたくない,,それでも行きたくない,,ない,,,8-平穏,行きたくない,,家族,"1-関心, 8-喜び",ない,,,8-平穏,どちらでもない,,家族,"1-関心, 8-喜び, 8-平穏",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,"1-期待, 8-喜び",ない,,,"1-関心, 8-喜び",どちらでもない,,家族,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心",どちらでもない,,友人,"1-期待, 8-喜び",ない,,,8-平穏,全く行きたくない,,それでも行きたくない,,ない,,
男性,"4-悲しみ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-敬愛, 8-平穏",行きたい,はい,,,ない,,,"4-哀愁, 8-平穏",どちらでもない,,友人,8-平穏,ない,,,"1-警戒, 3-嫌悪, 4-悲しみ",全く行きたくない,,それでも行きたくない,,ない,,,1-関心,行きたい,はい,,,ない,,,"1-期待, 8-恍惚, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 1-関心",行きたい,どちらでもない,友人,1-関心,ない,,,"1-期待, 7-信頼, 8-喜び",行きたい,いいえ,友人,8-喜び,ない,,,"1-期待, 1-関心, 5-驚き",行きたい,どちらでもない,友人,"1-期待, 1-関心",ない,,,"1-期待, 1-関心, 8-平穏",どちらでもない,,誰とでもいい,1-関心,ない,,
男性,6-恐れ,行きたくない,,誰とでもいい,5-驚き,ない,,,7-敬愛,行きたくない,,それでも行きたくない,,ない,,,"5-驚き, 7-敬愛",行きたくない,,それでも行きたくない,,ない,,,6-不安,全く行きたくない,,それでも行きたくない,,わからない,,,"1-関心, 8-平穏",どちらでもない,,誰とでもいい,"1-期待, 1-関心",ない,,,8-平穏,行きたくない,,それでも行きたくない,,ない,,,"5-驚嘆, 5-驚き, 6-恐れ",行きたい,はい,,,ない,,,"1-期待, 5-驚き",どちらでもない,,誰とでもいい,1-期待,ある,半日程度,どちらでもない,"1-期待, 1-関心",どちらでもない,,誰とでもいい,"1-期待, 1-関心",ない,,,1-期待,行きたくない,,それでも行きたくない,,ない,,
男性,"1-警戒, 4-悲しみ, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 1-関心, 6-恐怖, 6-不安",どちらでもない,,それでも行きたくない,,ない,,,"1-警戒, 4-哀愁, 6-恐怖, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 1-関心, 6-不安",どちらでもない,,専門ガイド,"1-期待, 1-関心, 8-平穏",ない,,,"1-期待, 1-関心, 8-平穏",行きたい,はい,,,わからない,,,"1-警戒, 1-関心, 6-恐怖, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-期待, 1-関心",ない,,,"1-期待, 1-関心, 8-平穏",どちらでもない,,家族,"1-期待, 7-信頼, 8-喜び, 8-平穏",ない,,,1-関心,どちらでもない,,専門ガイド,"1-関心, 7-信頼, 7-容認, 8-平穏",ない,,,8-平穏,行きたい,はい,,,ない,,
男性,"4-哀愁, 5-驚嘆, 5-驚き",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 7-敬愛, 8-恍惚",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 5-放心, 7-敬愛",どちらでもない,,友人,"1-関心, 8-喜び",ない,,,"4-悲しみ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"5-驚き, 8-平穏",どちらでもない,,友人,"1-期待, 8-恍惚",ない,,,"5-驚嘆, 5-驚き",行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 5-驚嘆, 5-驚き, 6-恐怖, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"5-驚き, 8-恍惚",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 5-驚嘆, 5-驚き, 8-喜び",どちらでもない,,友人,"1-期待, 1-関心",ない,,,"1-期待, 5-驚き, 8-平穏",どちらでもない,,家族,"1-期待, 1-関心",ない,,
男性,"6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"7-敬愛, 7-信頼",行きたい,はい,,,ない,,,"4-哀愁, 5-驚嘆",行きたい,はい,,,ない,,,"5-驚き, 5-放心",全く行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 8-恍惚",行きたくない,,それでも行きたくない,,ない,,,"8-恍惚, 8-平穏",とても行きたい,どちらでもない,友人,"8-喜び, 8-平穏",ない,,,"6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 8-喜び",行きたい,はい,,,ない,,,"1-期待, 5-驚嘆, 5-驚き",行きたい,はい,,,ない,,,"5-放心, 8-平穏",どちらでもない,,友人,"8-喜び, 8-平穏",ない,,
男性,"1-警戒, 1-関心, 5-驚嘆, 5-驚き, 6-恐れ, 6-不安, 8-喜び",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-恍惚, 8-喜び",行きたい,いいえ,家族,"1-期待, 5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-関心, 5-驚き, 7-敬愛, 8-喜び, 8-平穏",どちらでもない,,専門ガイド,"1-関心, 5-驚き, 7-敬愛, 8-喜び",ない,,,"1-警戒, 3-嫌悪, 6-恐れ, 6-不安",全く行きたくない,,友人,"1-警戒, 6-恐れ, 6-不安",ない,,,"1-関心, 5-驚き, 8-喜び",どちらでもない,,友人,"5-驚き, 8-喜び",ない,,,"1-警戒, 1-関心, 5-驚き, 8-喜び, 8-平穏",どちらでもない,,友人,"5-驚き, 8-喜び",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚き, 6-不安, 8-喜び",行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚き, 6-不安, 8-喜び",行きたくない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚き, 6-不安, 7-信頼, 8-喜び",とても行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-信頼, 8-喜び",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚き, 6-不安, 8-喜び",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,
男性,"5-驚き, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたい,いいえ,家族,"1-関心, 8-平穏",ない,,,4-哀愁,全く行きたくない,,それでも行きたくない,,ない,,,"4-悲しみ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心",行きたい,いいえ,友人,"1-期待, 1-関心",ない,,,"1-関心, 8-平穏",どちらでもない,,家族,"1-関心, 8-平穏",ない,,,"5-驚き, 5-放心, 6-不安",行きたくない,,専門ガイド,5-驚き,ない,,,"1-期待, 5-驚き",行きたい,いいえ,友人,"1-期待, 5-驚き",ない,,,5-驚き,どちらでもない,,専門ガイド,5-驚き,ない,,,1-期待,全く行きたくない,,それでも行きたくない,,ない,,
