BG-Q5. 性別を教えてください。,5a-Q1. 「苔むした岩を清流が走り、小滝が連なる緑深い渓流」に対してどのような感情を抱きますか？上記の図を参考にお答えください。（複数選択可）,5a-Q2. 「苔むした岩を清流が走り、小滝が連なる緑深い渓流」について「行きたい」と思うかを評価してください。,5a-Q3. 一人で行きたいですか？,5a-Q4. 誰かと一緒なら行きたいと思いますか？,5a-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5a-Q6. 過去に行ったことがありますか？,5a-Q7. その場所での滞在時間はどのくらいでしたか？,5a-Q8. 再び訪れたいと思いますか？,5b-Q1. 「満潮と干潮で姿を変え、夜になると夜光虫が輝く遠浅の干潟」に対してどのような感情を抱きますか？（複数選択可）,5b-Q2. 「満潮と干潮で姿を変え、夜になると夜光虫が輝く遠浅の干潟」について「行きたい」と思うかを評価してください。,5b-Q3. 一人で行きたいですか？,5b-Q4. 誰かと一緒なら行きたいと思いますか？,5b-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5b-Q6. 過去に行ったことがありますか？,5b-Q7. その場所での滞在時間はどのくらいでしたか？,5b-Q8. 再び訪れたいと思いますか？,5c-Q1. 「畑の脇に置かれたドラム缶風呂が、薪の炎で湯気を上げる農村」に対してどのような感情を抱きますか？（複数選択可）,5c-Q2. 「畑の脇に置かれたドラム缶風呂が、薪の炎で湯気を上げる農村」について「行きたい」と思うかを評価してください。,5c-Q3. 一人で行きたいですか？,5c-Q4. 誰かと一緒なら行きたいと思いますか？,5c-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5c-Q6. 過去に行ったことがありますか？,5c-Q7. その場所での滞在時間はどのくらいでしたか？,5c-Q8. 再び訪れたいと思いますか？,5d-Q1. 「 竹と藁で編まれた見張り小屋が獣害を一晩中見張る山里の畑」に対してどのような感情を抱きますか？（複数選択可）,5d-Q2. 「 竹と藁で編まれた見張り小屋が獣害を一晩中見張る山里の畑」について「行きたい」と思うかを評価してください。,5d-Q3. 一人で行きたいですか？,5d-Q4. 誰かと一緒なら行きたいと思いますか？,5d-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5d-Q6. 過去に行ったことがありますか？,5d-Q7. その場所での滞在時間はどのくらいでしたか？,5d-Q8. 再び訪れたいと思いますか？,5e-Q1. 「湖岸でヨシを刈り取り、葦舟と漁網を絶えず修繕する水上生活の集落」に対してどのような感情を抱きますか？（複数選択可）,5e-Q2. 「湖岸でヨシを刈り取り、葦舟と漁網を絶えず修繕する水上生活の集落」について「行きたい」と思うかを評価してください。,5e-Q3. 一人で行きたいですか？,5e-Q4. 誰かと一緒なら行きたいと思いますか？,5e-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5e-Q6. 過去に行ったことがありますか？,5e-Q7. その場所での滞在時間はどのくらいでしたか？,5e-Q8. 再び訪れたいと思いますか？,5f-Q1. 「 雪囲いの回廊が家々を結び、温泉の湯気が路地を漂う豪雪地の温泉街」に対してどのような感情を抱きますか？（複数選択可）,5f-Q2. 「 雪囲いの回廊が家々を結び、温泉の湯気が路地を漂う豪雪地の温泉街」について「行きたい」と思うかを評価してください。,5f-Q3. 一人で行きたいですか？,5f-Q4. 誰かと一緒なら行きたいと思いますか？,5f-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5f-Q6. 過去に行ったことがありますか？,5f-Q7. その場所での滞在時間はどのくらいでしたか？,5f-Q8. 再び訪れたいと思いますか？,5g-Q1. 「コンテナヤード、発電施設、石油化学工場が一体化した湾岸の人工用地」に対してどのような感情を抱きますか？（複数選択可）,5g-Q2. 「コンテナヤード、発電施設、石油化学工場が一体化した湾岸の人工用地」について「行きたい」と思うかを評価してください。,5g-Q3. 一人で行きたいですか？,5g-Q4. 誰かと一緒なら行きたいと思いますか？,5g-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5g-Q6. 過去に行ったことがありますか？,5g-Q7. その場所での滞在時間はどのくらいでしたか？,5g-Q8. 再び訪れたいと思いますか？,5h-Q1. 「水利組合が出資し、小規模水力で地域の電力を自給する農山村」に対してどのような感情を抱きますか？（複数選択可）,5h-Q2. 「水利組合が出資し、小規模水力で地域の電力を自給する農山村」について「行きたい」と思うかを評価してください。,5h-Q3. 一人で行きたいですか？,5h-Q4. 誰かと一緒なら行きたいと思いますか？,5h-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5h-Q6. 過去に行ったことがありますか？,5h-Q7. その場所での滞在時間はどのくらいでしたか？,5h-Q8. 再び訪れたいと思いますか？,5i-Q1. 「廃線の鉄道高架を遊歩道とサイクリングロードに再生し、カフェが点在する観光ルート」に対してどのような感情を抱きますか？（複数選択可）,5i-Q2. 「廃線の鉄道高架を遊歩道とサイクリングロードに再生し、カフェが点在する観光ルート」について「行きたい」と思うかを評価してください。,5i-Q3. 一人で行きたいですか？,5i-Q4. 誰かと一緒なら行きたいと思いますか？,5i-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5i-Q6. 過去に行ったことがありますか？,5i-Q7. その場所での滞在時間はどのくらいでしたか？,5i-Q8. 再び訪れたいと思いますか？,5j-Q1. 「間伐材を発電・温室・木工に循環利用する森林バイオマスのモデルタウン」に対してどのような感情を抱きますか？（複数選択可）,5j-Q2. 「間伐材を発電・温室・木工に循環利用する森林バイオマスのモデルタウン」について「行きたい」と思うかを評価してください。,5j-Q3. 一人で行きたいですか？,5j-Q4. 誰かと一緒なら行きたいと思いますか？,5j-Q5. 他者と一緒に行くことで感じる「感情」で増すのは次のどの感情ですか？,5j-Q6. 過去に行ったことがありますか？,5j-Q7. その場所での滞在時間はどのくらいでしたか？,5j-Q8. 再び訪れたいと思いますか？
男性,"7-容認, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-期待, 8-喜び",ある,1〜2時間,訪れたい,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 8-喜び",ない,,,"1-期待, 1-関心, 8-平穏",どちらでもない,,家族,1-関心,ない,,,"1-警戒, 1-関心, 5-驚き, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",どちらでもない,,家族,"1-期待, 1-関心, 8-喜び, 8-平穏",ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",とても行きたい,いいえ,家族,"1-期待, 1-関心, 8-喜び",ない,,,"1-警戒, 1-関心, 6-恐怖, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚き, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚き",どちらでもない,,友人,1-関心,ない,,
女性,"1-関心, 5-放心, 6-不安, 7-容認, 8-喜び",行きたい,いいえ,他人（ツアーなど）,"1-期待, 5-驚き, 7-信頼, 8-喜び",ない,,,"1-関心, 5-放心, 6-不安, 7-容認, 8-喜び",とても行きたい,いいえ,家族,"1-期待, 5-驚き, 7-信頼, 8-喜び",ない,,,"1-関心, 7-容認, 8-平穏",どちらでもない,,友人,"1-関心, 7-信頼, 8-平穏",ない,,,"1-関心, 5-放心, 6-不安, 7-容認",行きたくない,,専門ガイド,"1-関心, 5-驚き, 6-不安, 7-容認",ない,,,"1-関心, 5-驚き, 6-不安, 7-容認",行きたい,いいえ,他人（ツアーなど）,"1-期待, 5-驚嘆, 7-信頼, 8-喜び",ない,,,"1-期待, 5-驚き, 7-容認, 8-喜び",とても行きたい,いいえ,友人,"1-期待, 5-驚き, 7-敬愛, 8-喜び",ある,1日以上,訪れたい,"3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 6-不安, 7-容認, 8-平穏",どちらでもない,,他人（ツアーなど）,"1-期待, 5-驚き, 7-容認, 8-喜び",ない,,,"1-関心, 5-放心, 7-容認, 8-平穏",行きたい,いいえ,友人,"1-期待, 5-驚き, 7-信頼, 8-喜び",ない,,,"1-関心, 5-驚き, 7-信頼, 8-平穏",行きたい,いいえ,友人,"1-期待, 5-驚き, 7-信頼, 8-喜び",ない,,
女性,6-不安,行きたくない,,家族,1-関心,ない,,,"1-期待, 1-関心",行きたい,いいえ,家族,8-喜び,ない,,,8-平穏,行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,1-関心,どちらでもない,,家族,1-期待,ない,,,"1-期待, 1-関心, 8-平穏",とても行きたい,いいえ,家族,8-喜び,ない,,,"1-警戒, 6-不安",行きたくない,,専門ガイド,1-関心,ない,,,"4-哀愁, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心",どちらでもない,,家族,"8-喜び, 8-平穏",ない,,,1-関心,どちらでもない,,家族,1-期待,ない,,
男性,"1-関心, 6-不安",とても行きたい,いいえ,家族,"7-信頼, 8-平穏",ない,,,"3-嫌悪, 6-恐れ",行きたくない,,友人,"1-関心, 7-信頼",ない,,,"3-嫌悪, 5-放心, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"2-怒り, 3-強い嫌悪, 6-恐怖",全く行きたくない,,それでも行きたくない,,ない,,,"3-嫌悪, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安, 8-恍惚",行きたい,いいえ,家族,7-信頼,ない,,,"3-嫌悪, 6-恐れ",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-信頼, 8-平穏",行きたい,はい,,,ない,,,"1-警戒, 6-恐怖",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 6-不安",どちらでもない,,家族,"7-敬愛, 8-平穏",ない,,
男性,"1-期待, 8-平穏",行きたい,はい,,,ある,半日程度,訪れたい,"1-期待, 1-関心",どちらでもない,,友人,"1-期待, 1-関心",ない,,,8-平穏,どちらでもない,,友人,8-平穏,ない,,,1-関心,どちらでもない,,友人,1-関心,ない,,,"1-関心, 8-平穏",どちらでもない,,友人,1-関心,ない,,,8-平穏,どちらでもない,,友人,8-平穏,ない,,,"1-関心, 5-驚き",どちらでもない,,友人,1-関心,ない,,,8-平穏,行きたくない,,誰とでもいい,8-平穏,ない,,,1-関心,どちらでもない,,友人,1-関心,ない,,,1-関心,どちらでもない,,誰とでもいい,1-関心,ない,,
男性,"1-関心, 7-容認, 8-平穏",どちらでもない,,友人,"1-期待, 7-信頼, 8-喜び",ない,,,"1-期待, 5-驚嘆, 8-喜び, 8-平穏",行きたい,いいえ,友人,"5-驚嘆, 7-信頼",ない,,,"1-関心, 8-平穏",どちらでもない,,他人（ツアーなど）,"5-驚き, 7-信頼",ない,,,"1-関心, 7-容認, 8-平穏",行きたくない,,専門ガイド,"1-関心, 5-驚き, 7-容認",ない,,,"1-関心, 5-驚き, 8-平穏",どちらでもない,,他人（ツアーなど）,"1-期待, 5-驚嘆, 7-信頼",ない,,,"1-期待, 7-信頼, 8-平穏",行きたい,いいえ,友人,"1-期待, 5-驚き, 8-喜び",ない,,,"1-関心, 3-うんざり, 5-驚き",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-信頼, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 7-信頼, 8-喜び, 8-平穏",行きたい,いいえ,友人,"1-期待, 5-驚き, 8-喜び",ない,,,"1-関心, 7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,
男性,"1-関心, 7-信頼, 8-喜び, 8-平穏",行きたい,はい,,,ある,30分〜1時間,訪れたい,"1-関心, 7-容認, 8-平穏",どちらでもない,,専門ガイド,"1-期待, 5-驚き",ない,,,"3-うんざり, 7-容認, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 6-不安, 7-容認, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 4-哀愁, 7-信頼, 8-喜び, 8-平穏",とても行きたい,はい,,,ある,半日程度,訪れたい,"1-警戒, 3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 7-容認, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,
男性,"1-期待, 1-関心",とても行きたい,はい,,,ない,,,"1-期待, 1-関心, 8-喜び",とても行きたい,はい,,,ない,,,1-関心,どちらでもない,,家族,8-喜び,ない,,,1-関心,どちらでもない,,家族,8-喜び,ない,,,"1-関心, 8-喜び",行きたい,はい,,,ない,,,"1-関心, 8-喜び",とても行きたい,はい,,,ない,,,1-関心,行きたい,はい,,,ない,,,1-関心,行きたい,はい,,,ない,,,"1-期待, 1-関心, 8-喜び",とても行きたい,はい,,,ない,,,1-関心,どちらでもない,,家族,8-喜び,ない,,
男性,"1-警戒, 2-苛立ち, 3-嫌悪, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"1-関心, 5-驚嘆, 8-恍惚",ない,,,"1-関心, 4-哀愁, 5-驚き, 5-放心, 8-恍惚",どちらでもない,,他人（ツアーなど）,"1-期待, 1-関心, 5-驚き, 7-敬愛, 8-恍惚, 8-喜び, 8-平穏",ない,,,"7-敬愛, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-警戒, 1-関心, 4-哀愁, 6-恐怖, 6-恐れ, 6-不安",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-信頼",ない,,,"1-関心, 5-驚き, 7-敬愛, 7-信頼, 8-平穏",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-信頼, 8-喜び, 8-平穏",ない,,,"1-警戒, 4-哀愁, 5-驚き, 6-不安",行きたい,どちらでもない,他人（ツアーなど）,"1-期待, 1-関心, 5-驚き, 5-放心, 7-敬愛, 7-信頼, 7-容認",ない,,,3-うんざり,全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-敬愛, 7-信頼, 8-喜び, 8-平穏",行きたい,どちらでもない,他人（ツアーなど）,"1-期待, 1-関心, 5-驚き, 7-敬愛, 7-信頼, 7-容認, 8-喜び",ない,,,"1-関心, 5-驚き",どちらでもない,,誰とでもいい,"1-期待, 1-関心, 5-驚嘆",ない,,,"1-関心, 5-驚き, 7-信頼",行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 5-驚嘆, 7-信頼",ない,,
男性,"1-関心, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心",ない,,,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心",ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 8-喜び",ない,,,"1-警戒, 1-関心, 5-驚き, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心",ない,,,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,家族,"1-期待, 8-喜び",ない,,,"1-警戒, 5-驚き, 6-恐れ, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたい,いいえ,家族,"1-期待, 1-関心, 8-喜び",ない,,,"1-期待, 1-関心, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-期待, 8-喜び",ない,,,"1-関心, 5-驚き",行きたくない,,それでも行きたくない,,ない,,
男性,"1-関心, 7-敬愛, 7-容認, 8-恍惚, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ある,半日程度,訪れたい,"1-関心, 4-哀愁, 6-不安, 7-容認, 8-恍惚",行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",ない,,,"1-関心, 4-哀愁, 7-容認, 8-平穏",行きたくない,,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ない,,,"1-関心, 5-驚き, 6-不安, 7-容認",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 6-不安, 7-敬愛, 7-容認",行きたくない,,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ない,,,"1-期待, 1-関心, 4-哀愁, 5-驚き, 7-信頼, 7-容認, 8-恍惚, 8-喜び",とても行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ない,,,"1-警戒, 3-うんざり, 5-驚き, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 4-哀愁, 7-信頼, 7-容認, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-信頼, 7-容認, 8-喜び, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚き, 7-信頼, 7-容認, 8-平穏",行きたくない,,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ない,,
男性,"1-関心, 4-哀愁",行きたい,いいえ,友人,"1-関心, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",とても行きたい,いいえ,友人,"1-期待, 1-関心, 5-驚嘆, 5-驚き, 8-喜び",ない,,,4-哀愁,行きたくない,,友人,"7-信頼, 8-平穏",ない,,,"1-警戒, 6-恐れ, 6-不安",行きたくない,,専門ガイド,"7-信頼, 7-容認, 8-平穏",ない,,,"6-恐れ, 6-不安",行きたくない,,他人（ツアーなど）,"1-関心, 7-信頼, 8-平穏",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,"1-関心, 8-平穏",ない,,,6-恐れ,行きたくない,,他人（ツアーなど）,"1-関心, 8-平穏",ない,,,"1-関心, 4-哀愁",どちらでもない,,友人,"1-関心, 5-驚き, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚き, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,"1-関心, 7-信頼, 8-平穏",ない,,
男性,"4-哀愁, 5-放心, 7-敬愛, 7-容認, 8-平穏",行きたい,はい,,,わからない,,,"1-期待, 1-関心, 5-驚嘆",行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"3-嫌悪, 4-哀愁, 7-容認, 8-平穏",行きたくない,,友人,"1-期待, 7-容認, 8-喜び",ない,,,"1-警戒, 1-関心",行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 6-不安, 8-平穏",どちらでもない,,それでも行きたくない,,ない,,,"1-期待, 8-恍惚, 8-喜び, 8-平穏",とても行きたい,はい,,,ない,,,"1-関心, 5-驚き, 5-放心, 6-不安, 7-容認",行きたい,いいえ,他人（ツアーなど）,"7-容認, 8-平穏",ない,,,"1-関心, 5-驚き",どちらでもない,,友人,"8-喜び, 8-平穏",ない,,,"1-期待, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"1-関心, 5-驚き, 7-信頼, 7-容認",行きたい,いいえ,他人（ツアーなど）,"7-容認, 8-平穏",ない,,
男性,"1-警戒, 1-関心, 5-驚嘆, 5-驚き, 6-不安, 8-喜び",行きたい,いいえ,専門ガイド,"1-関心, 5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-期待, 5-驚嘆, 5-驚き, 8-喜び, 8-平穏",行きたい,いいえ,家族,"5-驚嘆, 5-驚き, 8-喜び",ない,,,"1-警戒, 6-不安, 8-平穏",どちらでもない,,家族,"1-警戒, 6-不安",ない,,,"1-警戒, 5-驚き, 6-恐怖, 6-恐れ, 6-不安",全く行きたくない,,友人,"1-警戒, 6-恐怖, 6-恐れ, 6-不安",ない,,,"1-警戒, 1-関心, 5-驚き, 6-不安, 7-敬愛, 8-喜び",行きたくない,,専門ガイド,"1-関心, 5-驚き, 7-敬愛, 8-喜び",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚嘆, 5-驚き, 6-不安, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-警戒, 1-期待, 6-不安, 8-喜び, 8-平穏",ない,,,"1-警戒, 1-期待, 1-関心, 5-驚き, 6-不安, 7-敬愛, 8-喜び",どちらでもない,,専門ガイド,"1-期待, 1-関心, 5-驚き, 7-敬愛, 8-喜び",ない,,,"1-警戒, 1-関心, 5-驚き, 6-不安, 8-喜び, 8-平穏",どちらでもない,,専門ガイド,"1-関心, 5-驚き, 8-喜び",ない,,,"1-期待, 1-関心, 5-驚き, 8-喜び, 8-平穏",行きたい,いいえ,家族,"1-期待, 5-驚き, 8-喜び, 8-平穏",ない,,,"1-期待, 1-関心, 5-驚き, 6-不安, 8-喜び, 8-平穏",行きたい,いいえ,専門ガイド,"1-期待, 1-関心, 5-驚き, 8-喜び",ない,,
女性,"1-関心, 8-喜び, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 1-関心, 8-恍惚, 8-喜び, 8-平穏",とても行きたい,いいえ,友人,"1-期待, 1-関心, 7-敬愛, 7-信頼, 8-恍惚, 8-喜び, 8-平穏",ない,,,"1-期待, 1-関心, 8-平穏",行きたい,はい,,,ない,,,"1-警戒, 6-不安",行きたくない,,それでも行きたくない,,ない,,,1-関心,どちらでもない,,専門ガイド,"1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",ない,,,1-関心,どちらでもない,,専門ガイド,"1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 7-信頼",どちらでもない,,専門ガイド,"1-期待, 1-関心, 7-信頼",ない,,,"1-期待, 1-関心, 5-驚き",行きたい,はい,,,ない,,,"1-期待, 1-関心",行きたい,はい,,,ない,,
女性,"1-期待, 1-関心, 6-不安, 8-喜び",とても行きたい,いいえ,友人,"1-期待, 8-喜び",ある,半日程度,ぜひ訪れたい,"1-期待, 1-関心, 6-不安, 8-喜び, 8-平穏",行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心, 6-不安, 7-信頼, 8-平穏",どちらでもない,,友人,8-喜び,ない,,,"1-警戒, 2-苛立ち, 3-嫌悪, 6-恐怖, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 7-敬愛, 7-信頼, 8-喜び, 8-平穏",行きたい,いいえ,友人,8-喜び,ない,,,"1-関心, 4-哀愁, 7-信頼, 8-喜び, 8-平穏",とても行きたい,いいえ,家族,"8-喜び, 8-平穏",ない,,,"1-警戒, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 1-関心, 7-信頼, 8-喜び, 8-平穏",行きたい,いいえ,他人（ツアーなど）,1-関心,ない,,,"1-期待, 1-関心, 7-容認, 8-喜び, 8-平穏",とても行きたい,いいえ,友人,"1-期待, 8-喜び",ない,,,"1-期待, 1-関心, 7-容認",どちらでもない,,友人,1-関心,ない,,
男性,"1-関心, 5-驚き, 8-恍惚",行きたい,はい,,,ない,,,"1-期待, 5-驚き, 8-恍惚",とても行きたい,いいえ,専門ガイド,"1-期待, 5-驚き, 8-恍惚",ない,,,"7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 6-恐れ, 7-容認",全く行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 7-信頼, 8-喜び",行きたい,いいえ,家族,"1-期待, 7-容認, 8-喜び",ある,1日以上,訪れたい,"7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"5-驚き, 7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"1-期待, 7-信頼, 8-喜び",行きたい,はい,,,ない,,,"7-容認, 8-平穏",行きたくない,,それでも行きたくない,,ない,,
男性,"8-恍惚, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 8-平穏",行きたい,どちらでもない,友人,1-期待,ない,,,"4-哀愁, 8-平穏",どちらでもない,,友人,8-喜び,ない,,,"1-警戒, 4-哀愁, 6-恐れ, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",行きたくない,,友人,1-関心,ない,,,"1-期待, 8-喜び, 8-平穏",とても行きたい,どちらでもない,友人,8-喜び,ない,,,"1-関心, 6-不安",行きたくない,,それでも行きたくない,,ない,,,"4-哀愁, 8-平穏",行きたい,はい,,,ない,,,"1-期待, 8-喜び, 8-平穏",とても行きたい,いいえ,友人,8-喜び,ない,,,"1-期待, 1-関心, 8-平穏",どちらでもない,,家族,"1-関心, 8-平穏",ない,,
男性,"1-関心, 5-驚き, 5-放心, 7-容認, 8-平穏",とても行きたい,いいえ,専門ガイド,"1-期待, 7-信頼",ある,1〜2時間,ぜひ訪れたい,"1-関心, 5-放心, 7-容認, 8-平穏",どちらでもない,,家族,"7-信頼, 8-喜び",ない,,,"4-哀愁, 5-放心, 8-平穏",行きたくない,,それでも行きたくない,,ない,,,"3-うんざり, 6-不安",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 5-驚き, 5-放心",行きたくない,,他人（ツアーなど）,"1-期待, 1-関心, 7-信頼, 7-容認",ない,,,"1-関心, 4-哀愁, 5-驚き, 5-放心, 8-平穏",行きたい,いいえ,友人,"1-期待, 1-関心, 7-信頼, 8-喜び",ない,,,"2-苛立ち, 3-嫌悪, 3-うんざり",全く行きたくない,,それでも行きたくない,,ある,1〜2時間,思わない,"4-哀愁, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 4-哀愁, 6-不安, 7-容認",どちらでもない,,友人,"1-期待, 7-信頼, 8-喜び",ない,,,"1-関心, 7-容認, 8-平穏",行きたくない,,友人,"1-期待, 1-関心, 7-容認",ない,,
男性,"8-喜び, 8-平穏",どちらでもない,,家族,8-喜び,ない,,,"1-期待, 5-驚き, 8-喜び",行きたい,どちらでもない,家族,"1-期待, 8-喜び",ない,,,8-平穏,行きたくない,,それでも行きたくない,,ない,,,1-関心,全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",どちらでもない,,家族,1-期待,ない,,,"1-期待, 8-喜び, 8-平穏",どちらでもない,,家族,"1-期待, 8-喜び",ない,,,1-関心,全く行きたくない,,それでも行きたくない,,ない,,,"1-関心, 8-平穏",全く行きたくない,,それでも行きたくない,,ない,,,"1-期待, 8-喜び",どちらでもない,,家族,8-喜び,ない,,,1-関心,行きたくない,,それでも行きたくない,,ない,,
